"";"Sci_name";"2012901_GN";"2012901_TB";"2013002_GN";"2013002_TB";"2013005_GN";"2013005_TB";"sum";"fam_name"
"71";"Lethrinus xanthochilus";0;0;0;1;0;1;2;"LETHRINIDAE"
"72";"Lutjanus argentimaculatus";0;0;0;1;0;1;2;"LUTJANIDAE"
"73";"Lutjanus bohar";0;26;6;49;2;7;90;"LUTJANIDAE"
"74";"Lutjanus ehrenbergii";2;0;4;0;3;0;9;"LUTJANIDAE"
"75";"Lutjanus fulviflamma";0;0;0;0;1;0;1;"LUTJANIDAE"
"76";"Lutjanus gibbus";0;17;0;29;2;19;67;"LUTJANIDAE"
"77";"Lutjanus kasmira";0;3;0;3;0;2;8;"LUTJANIDAE"
"78";"Lutjanus monostigma";1;4;0;3;0;1;9;"LUTJANIDAE"
"79";"Lutjanus rivulatus";0;0;0;1;0;0;1;"LUTJANIDAE"
"80";"Lutjanus sebae";0;0;0;1;0;0;1;"LUTJANIDAE"
"81";"Lutjanus sp.";0;1;0;0;0;0;1;"LUTJANIDAE"
"82";"Macolor niger";0;0;0;2;1;0;3;"LUTJANIDAE"
"83";"Monotaxis grandoculis";0;0;1;0;0;0;1;"LETHRINIDAE"
"84";"Mulloidichtys flavolineatus";0;0;1;0;0;0;1;"MULLIDAE"
"85";"Mulloidichtys vanicolensis";0;0;0;0;1;0;1;"MULLIDAE"
"86";"Myripristis murdjan";0;0;1;0;2;0;3;"HOLOCENTRIDAE"
"87";"Naso elegans";0;0;0;0;1;0;1;"ACANTHURIDAE"
"88";"Naso hexacanthus";0;0;1;1;1;0;3;"ACANTHURIDAE"
"89";"NO CATCH";5;0;7;0;0;0;12;"NO CATCH"
"90";"Paracaesio sordius";0;1;0;0;0;0;1;"LUTJANIDAE"
"91";"Pardarchius sp.";0;0;0;0;1;0;1;"SOLEIDAE"
"92";"Platax boersi";0;1;0;0;0;0;1;"EPHIPPIDAE"
"93";"Platax orbicularis";0;2;0;1;1;2;6;"EPHIPPIDAE"
"94";"Plectorhinchus gaterinus";0;4;1;0;2;0;7;"HAEMULIDAE"
"95";"Plectorhinchus pictus";0;0;0;0;1;0;1;"POMADASYIDAE (HAEMULIDAE)"
"96";"Plectrohinchus pictus";0;0;0;3;1;0;4;"HAEMULIDAE"
"97";"Plectropomus pessuliferus marisrubri";0;2;0;2;0;0;4;"SERRANIDAE"
"98";"Pletrohinchus schotaf";0;0;0;0;1;0;1;"HAEMULIDAE"
"99";"Priacanthus hamrur";0;0;2;0;0;0;2;"PRIACANTHIDAE"
"100";"Pristipomoides multidens";0;5;0;2;0;0;7;"LUTJANIDAE"
"101";"Pseudobalistes flavimarginatus";0;1;0;0;0;0;1;"BALISTIDAE"
"102";"Rastrelliger kanagurta";0;0;1;0;3;0;4;"SCOMBRIDAE"
"103";"Sarda orientalis";0;0;1;0;0;0;1;"SCOMBRIDAE"
"104";"Sargocentron rubrum";0;0;0;12;0;3;15;"HOLOCENTRIDAE"
"105";"Sargocentron spiniferum";0;11;1;13;1;5;31;"HOLOCENTRIDAE"
"106";"Scarus ferrugineus";0;0;1;0;0;0;1;"SCARIDAE"
"107";"Scarus frenatus";0;0;1;0;1;0;2;"SCARIDAE"
"108";"Scarus ghobban";0;0;0;0;1;0;1;"SCARIDAE"
"109";"Scomber australasicus";0;0;0;1;0;0;1;"SCOMBRIDAE"
"110";"Scomberoides lysan";2;1;6;1;8;0;18;"CARANGIDAE"
"111";"Scomberoides tol";0;0;1;0;3;0;4;"CARANGIDAE"
"112";"Scomberomorus commerson";2;0;0;0;3;0;5;"SCOMBRIDAE"
"113";"Siganus argenteus";0;0;1;0;0;0;1;"SIGANIDAE"
"114";"Siganus luridus";1;0;1;0;0;0;2;"SIGANIDAE"
"115";"Siganus rivulatus";0;0;0;0;1;0;1;"SIGANIDAE"
"116";"Siganus stellatus";0;0;1;0;0;1;2;"SIGANIDAE"
"117";"Sparus sp.";0;0;0;1;0;0;1;"SPARIDAE"
"118";"Sphyraena forsteri";0;0;1;0;0;0;1;"SPHYRAENIDAE"
"119";"Sphyraena jello";2;0;0;0;0;0;2;"SPHYRAENIDAE"
"120";"Sphyraena putnamae";0;0;0;0;1;0;1;"SPHYRAENIDAE"
"121";"Sphyraena qenie";0;0;2;0;3;0;5;"SPHYRAENIDAE"
"122";"Sphyrna lewini";1;0;0;0;0;0;1;"SPHYRNIDAE"
"123";"Taeniura lymma";0;0;0;0;1;0;1;"R A Y S"
"124";"Thunnus albacares";1;0;0;0;0;0;1;"SCOMBRIDAE"
"125";"Triaenodon obesus";0;2;0;7;0;0;9;"Carcharhinidae"
"126";"Tylosurus choram";1;0;4;0;0;0;5;"BELONIDAE"
"127";"Valamugil engeli";0;0;0;0;1;0;1;"MUGILIDAE"
"128";"Variola louti";0;0;0;2;0;0;2;"SERRANIDAE"
